bbl,address,bldgtype,ess,gfa,numbldgs,eui,energy (kBtu),bin,primary_type,other_types_dict, electricity , natural_gas , steam , fuel_4 , fuel_2 , elec kbtu , gas kbtu , total kbtu , EUI 
2040830013,1525 Blondell Ave.,Office,15,110245,1,254.3,28039802.3,2044217,Office,," 8,159,039 "," 4,407,264 ",,,,,,,
2057690105,3636 Waldo Ave,Office,85,113270,1,103.4,11717397.8,2083943,Office,," 1,931,692 "," 5,609,476 ",,,,,,,
1005230044,627 Broadway,Mixed Use Property,,120000,1,154.6,18547379.7,1008237,Office,"{'College/University': 30000.0, 'Retail Store': 30000.0, 'Office': 60000.0}"," 5,459,564 "," 3,001,860 ",,,,,,,
1008300042,260 5th Avenue,Office,71,66600,2,128,8526100.4,1015732,Office,"{'Retail Store': 9300.0, 'Office': 57300.0}"," 2,066,881 "," 2,320,809 ",,,,,,,
1005220010,632 Broadway,Office,58,139780,1,161.1,22524693.5,1008212,Office,"{'Retail Store': 33000.0, 'Medical Office': 8500.0, 'Office': 98280.0}"," 7,072,757 "," 2,757,357 ",,,,,,,
1007890075,264 W 40th St,Office,42,98375,1,179.1,17619514.4,1014508,Office,"{'Retail Store': 12277.0, 'Office': 86098.0}"," 4,684,597 "," 3,956,026 ",,,,,,,
1013440030,350 East 52nd St,Multifamily Housing,33,146161,1,142.6,20840255,1039661,Multifamily Housing,"{'Multifamily Housing': 140000.0, 'Other': 652.0, 'Retail Store': 5509.0, 'Parking': 16510.0}"," 3,272,501 "," 10,392,337 ",,,,,,,
2057237501,2287 Johnson Ave,Multifamily Housing,42,87075,1,123.1,10717447.3,2083257,Multifamily Housing,," 1,802,122 "," 4,982,300 ",,,,,,,
1021090046,1001 St. Nicholas Ave,Multifamily Housing,1,76221,1,237.6,18110655.9,1062550,Multifamily Housing,," 2,867,190 "," 9,217,310 ",,,,,,,
4052940013,36-19 167th Street,Multifamily Housing,81,82330,1,86.9,7157954.5,4119727,Multifamily Housing,," 800,961 "," 4,248,885 ",,,,,,,
4012630044,34-35 76th Street,Multifamily Housing,97,145366,1,95,13804308,4029031,Multifamily Housing,," 1,570,916 "," 7,697,500 ",,," 483,000 ",,,,
4012640047,3421 77 ST,Multifamily Housing,68,109498,1,126.3,13834881.2,4029131,Multifamily Housing,"{'Multifamily Housing': 109498.0, 'Parking': 14168.0}"," 1,482,983 "," 8,229,500 ",,," 181,870 ",,,,
3051130001,60 Turner Place,Multifamily Housing,86,158789,1,83.2,13210809.5,3117427,Multifamily Housing,"{'Multifamily Housing': 158789.0, 'Parking': 9360.0}"," 2,007,172 "," 6,408,500 ",,," 414,124 ",,,,
4014610035,87-15 37th Ave,Multifamily Housing,84,111368,1,93.5,10409796.7,4035890,Multifamily Housing,"{'Multifamily Housing': 104368.0, 'Medical Office': 7000.0, 'Parking': 11000.0}"," 1,221,718 "," 6,092,800 ",,,,,,,
4001900020,43-07 39th Place,Multifamily Housing,90,70475,1,85.1,5997750.4,4002498,Multifamily Housing,"{'Multifamily Housing': 67775.0, 'Office': 2700.0, 'Parking': 3235.0}"," 751,721 "," 3,391,520 ",,,,,,,
4098450086,172-90 Highland Ave,Multifamily Housing,95,102173,1,70.8,7235853.6,4210618,Multifamily Housing,"{'Multifamily Housing': 97673.0, 'Office': 4500.0}"," 959,033 "," 3,954,800 ",,,,,,,
4067120001,79-25 150th Street,Multifamily Housing,91,259682,1,85.5,22212458.8,4145197,Multifamily Housing,"{'Multifamily Housing': 254682.0, 'Medical Office': 5000.0, 'Parking': 15000.0}"," 2,993,955 "," 12,237,880 ",,,,,,,
